question,answer,video,index,character
Can I major in Engineering at NYUAD? ,"The Engineering divisions at NYU Abu Dhabi offers five degrees in Engineering: General Engineering, Mechanical, Electrical, Civil and Computer Engineering.",,1075,katarina
In what language is academic work conducted? ,Academic work at NYU Abu Dhabi is conducted in English. ,,1076,katarina
Does NYUAD ensure NYU's quality expectations? ,,,1077,katarina
Do the norms of academic freedom prevail at NYUAD? ,,,1078,katarina
Can I take classes outside of my majors? ,NYU Abu Dhabi encourages students to take classes in multiple disciplines outside of their majors. Students are also required to complete the Core Curriculum program requirements in order to graduate. ,,1079,katarina
What is a capstone? ,"A capstone is a year long research project that students are required to fulfill in their academic field. I am in fact, a result of a capstone project in Computer Science carried by a team of six NYU Abu Dhabi students. ",,1080,katarina
What are pre-requisites and co-requisites?,Pre-requisites are courses that you must complete before enrolling in a given course. Co-requisites are courses that must either complete or be enrolled in to enroll in the given course. ,,1081,katarina
How is the workload at NYU Abu Dhabi? ,The workload at NYU Abu Dhabi differs from one course to another. Some courses have a light workload while other have a heavier workload. ,,1082,katarina
Academic Freedom ,Academic freedom is an critical aspect of our vision at NYU Abu Dhabi.,,1083,katarina
What is a J-Term? ,"J-Term or January Term offers one month long intensive courses. Students are required to complete three J-Term courses throughout their four years, and can do one in one of our global sites. ",,1084,katarina
How does NYU Abu Dhabi decide which student to admit? ,"Admission to NYU Abu Dhabi is highly selective. Students are admitted based on academic excellence, extracurricular activities, and demonstrated interest in global citizenship, service, and leadership.",,1085,katarina
Are there minimum standarized test scores required for admissions? ,"NYU Abu Dhabi does not use numerical cut-offs when we evaluate applications. However, admission to NYU Abu Dhabi is very competitive. As a general rule, applicants with the strongest academic programs, the highest grades, and the highest test scores are most likely to be offered admission. For more information, please see NYU Abu Dhabi's official testing policy.",,1086,katarina
Which standarized test scores do I need to submit for my application? ,"NYU Abu Dhabi encourages students to present their best case for consideration for admission. We welcome you to provide official results of any nationally or internationally recognized standardized tests you have completed. Test scores are an important part of your application. They provide us with a better sense of your English language proficiency, and of your ability to succeed at NYU Abu Dhabi. But they are not the only factor on which your admission decision will be based. Please see our testing policy for complete details.",,1087,katarina
Is the TOEFL required for consideration for admission to NYU Abu Dhabi? ,"English is the language of instruction at NYU Abu Dhabi. NYUAD does not currently require an English language proficiency test (TOEFL or IELTS, etc.), however, we strongly encourage students to take an English language proficiency test and submit their scores. Excellent English language skills are critical to success at NYU Abu Dhabi. Please see NYUAD's official testing policy for more information.",,1088,katarina
Are national exams vaild to fulfill the testing requirement? ,"National exams are often sufficient to satisfy our standardized test requirement. You may submit results for a nationally accredited exam that: Signifies the completion of secondary education in your home country (or region), and Is administered independently of the your school. You can find a list of accepted tests on our website",,1089,katarina
Will NYU Abu Dhabi consider my Internation score? ,"Yes, the International Baccalaureate Diploma (predicted result followed by official verification) will satisfy NYU Abu Dhabi's standardized test requirement. NYU Abu Dhabi will make an admission decision using a student's predicted IB scores. If final test results vary greatly from the predicted results, NYU Abu Dhabi may withdraw the offer of admission.",,1090,katarina
What is most important in the admissions decision? ,"NYUAD looks at your entire application: grades, test scores, extracurricular work, evaluations, recommendations, and all information shared as part of the application.",,1091,katarina
Does NYU Abu Dhabi take into consideration the difficulty of a particular curriculum or different secondary school grading policies when making admissions decisions? ,"Yes. We encourage you to take the most challenging curriculum available, because when we evaluate your record, we consider the rigor of the program you've completed. It is also essential to complete the highest available terminating grade (e.g., the full 13 years of the British curriculum) of secondary school.",,1092,katarina
Is Admissions open to all?,"Yes. Citizens of all nations are welcome to apply, and admission is ""need blind."" Students are chosen based on their academic potential and qualifications, according to the same standards â€” including non-discrimination standards â€” that govern admission to NYU's campus in New York. Economic background and nationality do not influence our admission decision.",,1093,katarina
How important are letters of evaluation/recommendation? ,"Letters of evaluation and recommendation are extremely important. They give the admissions committee a more complete picture of your performance both in and outside the classroom, from the point of view of a professional who knows you well. We consider these letters within the overall context of your application, and we may contact the counselors or teachers who write them if we have questions about a your performance.",,1094,katarina
Does NYU Abu Dhabi accept the common application? ,"Yes, in fact, NYU Abu Dhabi requires the Common Application. In addition to the Common Application, you must also submit the NYU Supplement to the Common Application. Applications to NYU Abu Dhabi are not considered complete until we have received BOTH pieces of the application.",,1095,katarina
Can I apply online? ,"Yes, we strongly encourage you to apply online using the Common Application. If for some reason you cannot apply online, please contact your regional representative to discuss alternative methods of applying.",,1096,katarina
Can I apply to more than one NYU campus at a time? ,"Yes. You can indicate your interest in being considered for any combination of our campuses - New York, Abu Dhabi, and Shanghai - on the NYU Supplement to the Common Application.",,1097,katarina
How important are dealines? ,"Deadlines are extremely important. We cannot guarantee that we will read applications submitted after the deadline date, even if only one piece of the application is missing. We highly recommend that you submit your application and all supporting documents as early as possible. If you foresee a delay in submitting any of your supporting documents, please contact the NYU Abu Dhabi Admissions office to discuss your particular situation. Knowing the deadlines, you should plan the dates for your standardized tests accordingly, and give your recommenders plenty of time to complete their letters of recommendation.",,1098,katarina
Should I schedule an interview? ,"Not all applicants will have the opportunity to participate in an admissions interview. Select applicants will be invited to meet with members of the admissions committee during one of the Candidate Weekends, which will take place in Abu Dhabi. All eligible candidates will be contacted by NYU Abu Dhabi to arrange for this visit. Whenever possible, we encourage all applicants to visit the NYU Abu Dhabi campus or attend an information session in their city or region.",,1099,katarina
Are there any requirements I should know about? ,"In addition to your application, all candidates are required to have a valid passport. If you are chosen to participate in a Candidate Weekend, you will need to be able to travel to Abu Dhabi. NYU Abu Dhabi will cover the costs of this travel and assist with the visa process for all admitted or invited students, but you must ensure that they have a valid passport for travel.",,1100,katarina
When will I hear if I get admitted? ,"If you apply for ED 1 you'll here back by mid-December, if you apply ED2 you'll hear back by end of February, and if you apply RD you will hear back by April first. Admitted students will be notified of a financial support award at the same time.",,1101,katarina
If I'm not admitted can I reapply? ,"You are free to reapply if you are not admitted. However, we make our admissions decisions based on a thorough analysis of each student's application and credentials, and we urge you to reapply only if there has been a meaningful change in your qualifications for NYU Abu Dhabi.",,1102,katarina
"I am an undergraduate at another university, can I apply to NYU Abu Dhabi? ","Yes, you are eligible to apply for admission to NYU Abu Dhabi even if you have started working toward an undergraduate degree at another school. However, regardless of the amount or level of coursework already completed, all students will enter NYU Abu Dhabi as first year students for a four-year course of study. At this time, however, we discourage students who have completed two years or more of an undergraduate degree from applying.",,1103,katarina
Do you accept transfer applicants? ,"At this time, we do not accept transfer applications. All students must enter in September as first-year students.",,1104,katarina
Am I able to change campus location after I enroll? ,"NYU is fully committed to the well-being of our students, and we will do everything we can to make sure a student's experience is both academically and socially fulfilling. However, should a student decide that the campus at which they matriculate is not the right fit for him or her, a request for a change of campus will be given consideration. If a request for change of campus is approved, the Financial Aid office will evaluate a student's financial circumstances in the context of financial aid packages offered at the new campus. Financial aid packages vary greatly among our three campuses, so students should be aware of this reality should transferring become a consideration.",,1105,katarina
Do you accept applicants who already hold a bachelor of arts or scince degrees? ,There are only two programs at NYU that offer second bachelor's degrees: the second bachelor's degree in Nursing and the second bachelor's degree in Engineering. Both of these programs are housed at our New York City campus. NYU Abu Dhabi does not offer any second bachelor's degree programs.,,1106,katarina
What is NYU Abu Dhabi's tuition? What opportunities are there for financial assistance? ,"Our aim is to attract the best possible students regardless of financial circumstances. If you are admitted, our priority is to work with you and your family to make it possible for you to attend. NYU Abu Dhabi's Office of Financial Support will tailor the University's generous financial assistance programs to your individual needs. Financial support will ensure that the cost of attendance does not require you or your family to take on debt to support the cost of your education at NYU Abu Dhabi. Your family's finances should not affect your decision to select NYU Abu Dhabi, even if you are considering low- or no-cost public education alternatives or are the recipient of generous financial assistance from another institution. In addition, financial support from NYU Abu Dhabi will apply not only to the cost of attendance, but also to many activities and opportunities available to NYU Abu Dhabi students.",,1107,katarina
Do you hold open house or informal information session programs? ,,,1108,katarina
"From where will students come, and how many?","You can always find up-to-date information about the NYU Abu Dhabi student body, detailed information about select students and their experiences, and comprehensive class profiles on the Student Profiles page of our site.",,1109,katarina
How can I find out more about academics and campus life at NYU Abu Dhabi?,"Please explore NYU Abu Dhabi Academic Programs, visit the Campus Life section of the website, and check out our blog to learn more about student activities and events in and around Abu Dhabi.",,1110,katarina
"If I get accepted, can I defer a year before joining NYUAD?","If youâ€™ve been offered admission to NYU Abu Dhabi, you may request to defer your enrollment for up to one year. If your request is approved and you meet the requirements listed below, you do not have to file a new application and are guaranteed readmission for the next fall semester.  ",,1111,katarina
What are the graduating requirements,Graduating requirements differ from major to major so it depends on your situation.,,1112,katarina
Do I have to decide my major before coming to NYUAD? ,Students need to declare their majors only by the end of their third semester. Students do not have to decide on their major before coming to NYUAD. ,,1113,katarina
What are the different majors offered?,"NYUAD offers 22 majors, and numerous multidisciplinary minors and specializations. Arab Crossroads Studies, Art and Art History, Biology, Chemistry, Computer Science, Economics, Film and New media, History,Literature and Creative Writing, Mathematics, Music,Philosophy, Physics Political Science, Psychology, Social Research and Public Policy, Theatre. In addition to 5 Engineering majors, Civil, Computer, Electrical, General and Mechanical Enigineering.",,1114,katarina
What does admissions look for in a student?,"NYU Abu Dhabi draws students of all backgrounds from around the world to create a uniquely diverse and dynamic student body. Admission to NYU Abu Dhabi is highly selective and you will need to demonstrate, through your application, academic excellence, sustained and meaningful extracurricular involvement, strong and supportive letters of recommendation, commitment to supporting a global, interconnected community through service and leadership",,1115,katarina
What's the minimum scores _____ that can get me into NYUAD? ,"There are no minimum scores for tests, but to give you an idea these are the average test scores for the class of 2021, For the SAT the 75th percentile for the SAT Math score was 780 (with 20 students receiving perfect 800 scores), while at the 25th percentile, the score was 700. At the 75th percentile for Evidence-Based Reading & Writing was 750 (with 5 students receiving perfect 800 scores). At the 25th percentile, it was 650. The median overall SAT score was 1,460 (out of the 1,600 scale). For the ACT the median composite score was 32 out of a 36-point scale, and for the International Baccalaureate the students reported a median predicted score of 39 (out of a scale of 42).",,1116,katarina
When should I apply for NYU Abu Dhabi? ,"If you are interested in applying to NYU Abu Dhabi, the best time to start is by the end of your junior year in highschool. Our first early decision deadline is on the first of November, while the second Early Decision and Regular decision dealine is on the firt of January. ",,1117,katarina
When is the application deadline,"The application deadline varies based on your application decision, for Early decision 1 students the deadline in November 1st and they will get a reply by the 15th od December. Early decision 2 and regular decision students must submit their applications before the 1st of January. While Early decision 2 students get their application decision on February the 15th, regular decision students get their decisions on April 1st.",,1118,katarina
What is Candidate Weekend? ,"Candidate Weekend is a unique part of the NYU Abu Dhabi admissions process, a chance to experience life in NYU Abu Dhabi's global community and explore the cosmopolitan city of Abu Dhabi.",,1119,katarina
What do candidates get to do during Candidate Weekend? ,"As a participant, you will a take sample class, engage in one-on-one discussions with NYUAD leadership and faculty, meet your fellow candidates and current students, and learn as much as possible about the opportunities available to NYUAD students â€” all in just under 48 hours!",,1120,katarina
When is Candidate Weekend? ,"The dates for candidate weekend will vary based on when you submitted your application, early decision one students will be invited between December 7th to 10th, early decision two students will be invited between February 1st to 4th and regular decision students will be invited between February 22nd to 25th or between March 8th to 11th.",,1121,katarina
Where is Candidate Weekend? ,"Candidate Weekend will be held in AbuDhabi, some of the events will take place on campus while others will be off campus.",,1122,katarina
What is the difference between Early Decision and Regular Decision?,"Students will submit their applications before November 1st and receive their admissions decisions soon after on the 15th of December. Early Decision is binding, which means that any student who applies and is admitted to a school through Early Decision is expected to enroll. Whereas regular decision students must submit their applications before January 1st and the applications are non-binding. This means that upon acceptance the student still has the choice of choosing a different school.",,1123,katarina
What is financial aid?,"NYUAD provides financial support in the form of fellowships and need-based grants, to those who qualify. The support may cover up to the full cost of attendance, including tuition, foreign travel for study integral to a student's academic program, room and board, health insurance, personal expenses, books, and many student life activities. Financial support may also include up to two tickets each year between Abu Dhabi and the studentâ€™s country of permanent residence.",,1124,katarina
What are the scholarships offered?,"NYU Abu Dhabi does not offer scholarships, but it does offer Financial Aid given on need-basis",,1125,katarina
What are the financial aid plans that NYU Abu Dhabi provides? ,"Every admitted student is also automatically considered for merit-based fellowships. Need-based support may cover up to the full cost of attendance, including tuition, foreign travel for study integral to a student's academic program, room and board, health insurance, personal expenses, books, and many student life activities. Financial support may also include up to two tickets each year between Abu Dhabi and the studentâ€™s country of permanent residence.",,1126,katarina
Would I be eligible for a scholarship if I have a partial scholarship with someone else?,With these situations each case is looked at seartley and the decisions are made on a case to case basis. I would suggest talking to someone in the...,,1127,katarina
"If I get accepted, can I transfer credits from another university? ","NYU Abu Dhabi accepts application from university students, but does not accept transferral of credits. All students are start at NYU Abu Dhabi as first year students. ",,1128,katarina
LOA - military service,-,,1129,katarina
SMSP - Emerging Scholars Program ,-,,1130,katarina
Are there student clubs at NYUAD? ,There are clubs at NYUAD called Student Interest Groups (SIGs) ,,1131,katarina
What are Student Interest Groups? ,"There are two types of Student Interest Groups: Student Organizations â€” an organized, collective effort to explore a field, pursue a shared passion, or support a cause, and Student Teams â€” a group of students that work together to hone their abilities with the intent of competing.",,1132,katarina
Is there a Student Government at NYUAD? ,"The Student Government is the voice of students within the NYUAD community. It serves and is ultimately accountable to the student body, upholding studentsâ€™ rights, promoting their welfare, and pledging to remain transparent and accessible to all students.",,1133,katarina
What are the responsibilities of Student Government at NYU Abu Dhabi? ,"The primary responsibility of the Student Government is to ensure that our students have the opportunity to realize their potential, to explore new areas and activities, and to pursue their passions.",,1134,katarina
What are the volunteering opportunities NYUAD students have taken part in? ,"There are a diverse range of short- and long-term volunteer opportunities that are organized by student life offices. Some of these include mentoring youth in Abu Dhabi, vocational education, and other community service opportunities with a wide range of locally based community organizations.",,1135,katarina
Is there an MUN team at NYUAD? ,One of our student teams is an MUN team that has participated in multiple MUNs locally and internationally. ,,1136,katarina
Is there a debate team at NYUAD? ,The Debate Society meets on weekly basis and train for national and international debate contests. ,,1137,katarina
Are there cultural student organizations on campus? ,"We have a number of cultural student organizations; there are SIGs focussed on Arab, African, Latino, South Asian and many other cultures. ",,1138,katarina
What is the Gazelle? ,"The Gazelle is an online journal platform, founded and organized solely by students, you can read their work at www.thegazelle.org. ",,1139,katarina
REACH,REACH is a student organization that envisions a community in which every student feels safe and supported. REACH programming includes peer-to-peer counselling as well as programming focussed on self-care and consent. ,,1140,katarina
WeSTEM,"weSTEM (Women Empowered in STEM) was established in order to increase the number of girls and women pursuing degrees and careers in science, technology, engineering and mathematics at our university and in the region, and it aims to provide a platform for students to promote female presence in STEM fields.",,1141,katarina
Is there a college sports league in Abu Dhabi or the UAE? ,"The Abu Dhabi Inter-University Sports League (ADISL) was founded in 2012. The league has since grown to include over 15 universities throughout the Emirate of Abu Dhabi, you can check out all participating universities and more at www.adisl.ae. ",,1142,katarina
What sports are played at NYUAD? ,"Intercollegiate sports at NYUAD include Basketball, Football, Badminton, Table Tennis, and Volleyball.",,1143,katarina
"Why are there no hockey, rugby or american football teams? ",The Althletics department supports emerging sport teams as long as there are enough students interested and committed to be part of the team. ,,1144,katarina
How can I join a sports team at NYUAD?,"The Athletics department always welcomes new students to try out for intercollegiate sports teams. As for the Intramural teams, all NYUAD community members are welcome to form or join teams. ",,1145,katarina
What are the athletics/sports facilities at NYUAD?,"Our campus houses a 50m Competition Pool, indoor multi-use courts for basketball, badminton, volleyball, netball, futsal, etc, a 200m indoor running track, a climbing wall, an Athletic Training Center open to all Intercollegiate (ADISL) and Club Sport athletes, and outdoor facilities that include four hard tennis courts, a 400-meter outdoor track, and two full-sized natural surface multi-purpose fields.",,1146,katarina
