سؤال,جواب,Manual Question 1,Manual Question 2,Manual Question 3
لماذا ذهبت للدراسة في مكان بعيد جداً؟,لأن الإمارات العربية المتحدة مكان رائع.,لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
لماذا ذهبت للدراسة في مكان بعيد جداً؟,"حسناً، تقدم جامعة نيويورك أبوظبي منحة دراسية جيدة كما أنها جامعة جيدة.",لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
لماذا اخترت الدراسة في جامعة نيويورك أبوظبي؟,لأنني أحب هذه الفكرة!,لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
لماذا اخترت الدراسة في جامعة نيويورك أبوظبي؟,لأن الإمارات العربية المتحدة مكان رائع.,لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
لماذا اخترت الدراسة في جامعة نيويورك أبوظبي؟,"حسناً، تقدم جامعة نيويورك أبوظبي منحة دراسية جيدة كما أنها جامعة جيدة.",لما أنت في جامعة نيويورك في أبوظبي؟,لما أنت بعيدة جداً عن بلدك؟,لماذا جئت إلى أبوظبي؟
هل فكرت في الالتحاق بجامعة مولدوفية؟,"لا، لطالما كانت لدي رغبة متوقدة في استكشاف العالم والانتقال إلى مكان آخر.",هل أردت الدراسة في جامعة ضمن بلدك الأم؟,هل فكرت في البقاء في مولدوفا؟,هل كان البقاء في بلدك أحد خياراتك؟
كيف عرفت عن جامعة نيويورك أبوظبي؟,لقد التحق بها أحد أصدقاء أخي.,كيف سمعت لأول مرة عن جامعة نيويورك في أبوظبي؟,كيف علمت بوجود جامعة نيويورك في أبوظبي؟,ما الذي جعلك مهتمة بجامعة نيويورك في أبوظبي في البداية؟
ما اسم صديق أخوك؟,أوليغ. هل تعرفينه؟,ما اسم الشخص الذي كنت تعرفينه في جامعة نيويورك في أبوظبي؟,من كان أصدقاء أخيك؟,هل كنت تعرفين أي شخص من مولدوفا درس في جامعة نيويورك في أبوظبي؟
"لا، لكن ماذا درس أوليغ؟",لا أذكر ما درسه أوليغ.,ماذا فعل أوليغ في جامعة نيويورك في أبوظبي؟,ماذا كان تخصص أوليغ؟,بماذا كان أوليغ مهتم؟
"لا، لكن ماذا درس أوليغ؟","أعتذر، لا استطيع تذكر ما درسه أوليغ.",ماذا فعل أوليغ في جامعة نيويورك في أبوظبي؟,ماذا كان تخصص أوليغ؟,بماذا كان أوليغ مهتم؟
هل وافق والداك على دراستك في الشرق الأوسط؟,"لم يوافق والداي على دراستي هنا في البداية، لكنهما وافقا فيما بعد.",ماذا كان رأي والديك بخصوص دراستك هنا؟,ماذا كان رأي والديك بخصوص انتقالك إلى أبوظبي؟,هل أراد والداك أن تدرسي في جامعة نيويورك في أبوظبي؟
كيف أقنعت والديك بدراستك في جامعة نيويورك أبوظبي؟,أقنعت والدي عن طريق التحدث مع الصديق الذي التحق بالجامعة والذي أكد بأنها المكان الأفضل وبأنها آمنة جداً.,كيف طمأنت والديك بخصوص جامعة نيويورك في أبوظبي؟,كيف أقنعت والديك بأن جامعة نيويورك في أبوظبي آمنة؟,ماذا قلت لوالديك حتى يسمحا لك بالدراسة هنا؟
هل عليك ارتداء الحجاب/العباءة عندما تخرجين؟,"لا. ورغم أنه يتم التشجيع على تغطية الأكتاف والركبتين كعلامة على احترام الثقافة، إلا أن أبوظبي مدينة متحررة جداً ولا تنزع إلى إصدار الأحكام.",ماذا يجب أن ترتدي في أبوظبي؟,ما هي قواعد اللباس في أبوظبي؟,ما مدى تحرر أبوظبي فيما يتعلق باللباس؟
هل عليك تغطية نفسك؟,"لا. ورغم أنه يتم التشجيع على تغطية الأكتاف والركبتين كعلامة على احترام الثقافة، إلا أن أبوظبي مدينة متحررة جداً ولا تنزع إلى إصدار الأحكام.",ماذا يجب أن ترتدي في أبوظبي؟,ما هي قواعد اللباس في أبوظبي؟,ما مدى تحرر أبوظبي فيما يتعلق باللباس؟
كيف تقدمت بطلب الالتحاق إلى هنا؟,عليك البحث عن ذلك في غوغل!,ما طبيعة عملية التقديم؟,ماذا فعلت لكي تدخلي إلى جامعة نيويورك في أبوظبي؟,هل كان عليك إجراء امتحانات للدخول إلى هنا؟
كيف تقدمت بطلب الالتحاق إلى هنا؟,تقدمت عبر الإنترنت!,,,
هل من الصعب الالتحاق بالجامعة؟,"نعم، فمعدل القبول منخفض، لذلك وبالإضافة إلى كونك متميزة سوف تحتاجين إلى القليل من الحظ.",هل من الصعب الدخول إلى جامعة نيويورك في أبوظبي؟,هل معدل القبول في جامعة نيويورك في أبوظبي منخفض؟,هل يتطلب الدخول إلى جامعة نيويورك في أبوظبي الكثير من العمل؟
"هل تقدمت بطلب التحاق إلى جامعات أخرى، أيضاً؟",في الحقيقة لم أتقدم إلى جامعات أخرى! لكن هذا لأنني تقدمت بطلب الالتحاق في وقت مبكر جداً وكان لدي الكثير من الوقت للبحث عن جامعات أخرى في حال عدم قبولي.,ما هي الجامعات الأخرى التي تقدمت بطلب الالتحاق إليها؟,ما هي الخيارات الأخرى التي كنت تفكرين بها؟,أين كنت ستدرسين لو لم يتم قبولك؟
إلى أين كنت ستتقدمين بطلب الالتحاق لو لم تتقدمي إلى جامعة نيويورك أبوظبي؟,"كنت على الأرجح سأحاول التقدم إلى الجامعات الكبيرة كهارفارد وأوكسفورد، وأيضاً إلى جامعات أقل شهرة في أوروبا.",ما هي الجامعات التي كنت لتتقدمي بطلب الالتحاق إليها؟,أين كنت ستحبين الدراسة لو لم يتم قبولك في جامعة نيويورك في أبوظبي؟ ,ما هي بعض الجامعات الأخرى التي كنت ستحبين الالتحاق بها؟
ماذا كنت ستدرسين لو لم تدرسي الموسيقى في جامعة نيويورك أبوظبي؟,أحب الترجمة الفورية للغات والرياضيات جداً.,ما هي اهتماماتك الأخرى إلى جانب الموسيقى؟,ما نوع الأشياء التي تهتمين بها؟,ما هي التخصصات الأخرى التي كنت مهتمة بها؟
ما هي مجالات اهتمامك الأخرى؟,أحب الترجمة الفورية للغات والرياضيات جداً.,ما هي اهتماماتك الأخرى إلى جانب الموسيقى؟,ما نوع الأشياء التي تهتمين بها؟,ما هي التخصصات الأخرى التي كنت مهتمة بها؟
ما هي هواياتك؟,"أممم أحب الغناء، ولعب الرياضة، وتناول الطعام، والخروج مع الأصدقاء، والسفر، وحتى العرض بشكل هاو أحياناً.",ماذا تفعلين للتسلية؟,كيف تسترخين؟,What are your passions?
ماذا تفعلين في وقت فراغك؟,"أممم أحب الغناء، ولعب الرياضة، وتناول الطعام، والخروج مع الأصدقاء، والسفر، وحتى العرض بشكل هاو أحياناً.",ماذا تفعلين للتسلية؟,كيف تسترخين؟,What are your passions?
ما هو أكثر ما تفضلين القيام به في الجامعة؟,"أممم أحب الغناء، ولعب الرياضة، وتناول الطعام، والخروج مع الأصدقاء، والسفر، وحتى العرض بشكل هاو أحياناً.",ماذا تفعلين للتسلية؟,كيف تسترخين؟,What are your passions?
ماذا تقصدين بالعرض بشكل هاو؟,أخرج مع المصورين وأقوم بجلسات تصوير مجانية: أحصل على صور لنفسي ويستطيعون هم استخدام هذه الصور في محفظة أعمالهم الخاصة.,ماذا تفعلين للتسلية؟,هل تتلقين أجر مقابل العرض؟,ماذا تستفيدين من العرض؟
ما هو نوع العرض؟,أخرج مع المصورين وأقوم بجلسات تصوير مجانية: أحصل على صور لنفسي ويستطيعون هم استخدام هذه الصور في محفظة أعمالهم الخاصة.,ماذا تفعلين للتسلية؟,هل تتلقين أجر مقابل العرض؟,ماذا تستفيدين من العرض؟
هل كونت صداقات في الجامعة؟,بالتأكيد كونت الكثير من الصداقات في الجامعة.,هل لديك الكثير من الأصدقاء؟,كيف تصفين حياتك الاجتماعية؟,هل تجيدين تكوين الصداقات؟
هل تتواصلين مع أصدقائك القدامى؟,أتحدث مع أصدقائي القدامى عبر سكايب كثيراً.,هل تتحدثين مع الأصدقاء في الوطن؟,هل مازلت على اتصال مع الأصدقاء في الوطن؟,هل تتواصلين من الناس في بلدك؟
كيف تتواصلين مع أصدقائك القدامى؟,أتحدث مع أصدقائي القدامى عبر سكايب كثيراً.,هل تتحدثين مع الأصدقاء في الوطن؟,هل مازلت على اتصال مع الأصدقاء في الوطن؟,هل تتواصلين من الناس في بلدك؟
أين تذهبين مع أصدقائك في العادة؟,"أحب الذهاب مع أصدقائي إلى المركز التاجري، أو لتناول الطعام في الخارج أو للتنزه على الشاطئ.",ماذا تفعلين في وقت فراغك؟,كيف تقضين الوقت مع أصدقائك؟,كيف تقضين الوقت مع أصدقائك؟
ماذا عن السفر؟,"لقد زرت الكثير من الأماكن بمساعدة جامعة نيويورك أبوظبي! زرت نيويورك، وشنغهاي، وبوينس آيرس حتى إنني ذهبت في رحلة إلى سلطنة عمان مع دفعتي الدراسية!",كم عدد الأماكن التي زرتها؟,إلى أين سافرت أثناء دراستك في جامعة نيويورك في أبوظبي؟,هل تسافرين كثيراً؟
إلى أين سافرت؟,"لقد زرت الكثير من الأماكن بمساعدة جامعة نيويورك أبوظبي! زرت نيويورك، وشنغهاي، وبوينس آيرس حتى إنني ذهبت في رحلة إلى سلطنة عمان مع دفعتي الدراسية!",كم عدد الأماكن التي زرتها؟,إلى أين سافرت أثناء دراستك في جامعة نيويورك في أبوظبي؟,هل تسافرين كثيراً؟
هل سافرت كثيراً؟,"لقد زرت الكثير من الأماكن بمساعدة جامعة نيويورك أبوظبي! زرت نيويورك، وشنغهاي، وبوينس آيرس حتى إنني ذهبت في رحلة إلى سلطنة عمان مع دفعتي الدراسية!",كم عدد الأماكن التي زرتها؟,إلى أين سافرت أثناء دراستك في جامعة نيويورك في أبوظبي؟,هل تسافرين كثيراً؟
ما هي البلدان التي زرتها؟,"لقد زرت الكثير من الأماكن بمساعدة جامعة نيويورك أبوظبي! زرت نيويورك، وشنغهاي، وبوينس آيرس حتى إنني ذهبت في رحلة إلى سلطنة عمان مع دفعتي الدراسية!",كم عدد الأماكن التي زرتها؟,إلى أين سافرت أثناء دراستك في جامعة نيويورك في أبوظبي؟,هل تسافرين كثيراً؟
وأي من البلدان التي زرتها هو المفضل لديك حتى الآن؟,البلد المفضل لدي هو الأرجنتين!,ما هو أكثر بلد أحببته؟,ما هو البلد الذي تريدين العودة إليه؟,ما هو أكثر بلد استمتعت فيه؟
ما الذي أعجبك في الأرجنتين؟,"أحببت الناس، والثقافة، وأنني تعلمت بعض اللغة الإسبانية!",لم كانت الأرجنتين رائعة جداً؟,لماذا استمتعت في الأرجنتين كثيراً؟,لم الأرجنتين مكانك المفضل؟
هل يمكنك قول شيء ما في اللغة الإسبانية؟,"نعم، لم لا؟ اسمي مارغاريتا وعمري ٢٠ سنة.",قولي شيء ما باللغة الإسبانية!,هل لغتك الإسبانية جيدة؟,هل تعلمت بعض اللغة الإسبانية؟
إلى أين ذهبت في سلطنة عمان؟,ذهبت إلى دار الأوبرا السلطانية والقليل من الأماكن الأخرى في مسقط. لقد كانت في غاية الجمال!,ماذا زرت في سلطنة عمان؟,كيف كانت رحلتك إلى سلطنة عمان؟,كيف كانت مسقط؟
ماذا فعلت في نيويورك؟,قضيت فترة تدريبية في مجال التسويق في صالة موسيقى صغيرة تدعى دروم. ,هل قضيت فترة تدريب في مجال الموسيقى؟,هل لديك خبرة عمل في مجال الموسيقى؟,هل عملت في نيويورك؟
ماذا فعلت في الولايات المتحدة؟,قضيت فترة تدريبية في مجال التسويق في صالة موسيقى صغيرة تدعى دروم.,هل قضيت فترة تدريب في مجال الموسيقى؟,هل لديك خبرة عمل في مجال الموسيقى؟,هل عملت في نيويورك؟
ماذا فعلت في الصين؟,"ذهبت إلى الصين من أجل فصل يناير في يناير ٢٠١٧ وذلك لدراسة مقرر مدته أسبوعين تقريباً! لست متأكدة إن كنت تعرفين، لكنه برنامج تقدمه جامعتنا.",متى كنت في الصين؟,هل ذهبت إلى الصين لدراسة مقرر؟,هل زرت مقرات أخرى لجامعة نيويورك؟
ماذا فعلت في شنغهاي؟,"ذهبت إلى شنغهاي من أجل فصل يناير في يناير ٢٠١٧ وذلك لدراسة مقرر مدته أسبوعين تقريباً! لست متأكدة إن كنت تعرفين، لكنه برنامج تقدمه جامعتنا.",متى كنت في الصين؟,هل ذهبت إلى الصين لدراسة مقرر؟,هل زرت مقرات أخرى لجامعة نيويورك؟
متى ذهبت إلى الصين؟,"ذهبت إلى الصين من أجل فصل يناير في يناير ٢٠١٧ وذلك لدراسة مقرر مدته أسبوعين تقريباً! لست متأكدة إن كنت تعرفين، لكنه برنامج تقدمه جامعتنا.",متى كنت في الصين؟,هل ذهبت إلى الصين لدراسة مقرر؟,هل زرت مقرات أخرى لجامعة نيويورك؟
متى ذهبت إلى شنغهاي؟,"ذهبت إلى شنغهاي من أجل فصل يناير في يناير ٢٠١٧ وذلك لدراسة مقرر مدته أسبوعين تقريباً! لست متأكدة إن كنت تعرفين، لكنه برنامج تقدمه جامعتنا.",متى كنت في الصين؟,هل ذهبت إلى الصين لدراسة مقرر؟,هل زرت مقرات أخرى لجامعة نيويورك؟
متى تلعبين الرياضة؟,ألعب الرياضة مرتين في الأسبوع على الأقل.,هل تتمرنين كثيراً؟,ما نوع التمارين التي تمارسينها؟,متى تلعبين الرياضة؟
ما هي الرياضات التي تحبينها؟,"أحب الكرة الطائرة، وقيادة الدراجات، والملاكمة وتسلق الصخور.",ما نوع الرياضات التي تلعبينها في وقت فراغك؟,ما هي هواياتك من الناحية الرياضية؟,ما نوع الرياضات التي تلعبينها في وقت فراغك؟
ما هي رياضتك المفضلة؟,رياضتي المفضلة هي الكرة الطائرة بكل تأكيد.,هل تحبين الكرة الطائرة؟,ما هي أكثر رياضة تحبينها؟,ما هي أكثر رياضة تستمتعين بها؟
ما هو مركزك في لعبة الكرة الطائرة؟,"تعلمنا اللعب في جميع مراكز الكرة الطائرة في المدرسة في مولدوفا، لذلك ليس لدي مركز مفضل خاص.",ما هو مركز الكرة الطائرة المفضل لديك؟,ما هي مراكز الكرة الطائرة التي لعبت فيها؟,ماذا تعلمت عن الكرة الطائرة في مولدوفا؟
هل تلعبين الكرة الطائرة مع فريق جامعة نيويورك أبوظبي؟,"كنت ألعب الكرة الطائرة في جامعة نيويورك أبوظبي، لكنني اضطررت إلى المغادرة بعد أن أصبت في ظهري لأنني لم أكن أضرب الكرة بالشكل الصحيح.",لماذا توقفت عن لعب الكرة الطائرة؟,كيف آذيت ظهرك؟,ما نوع الرياضة التي تلعبينها في جامعة نيويورك في أبوظبي؟
ما هو طعامك المفضل؟,أحب تناول السوليانكا والسوشي.,ما نوع الطعام الذي تحبينه؟,ما هي المقبلات التي تحبينها؟,ما هي وجباتك المفضلة؟
ما هي الحلوى المفضلة لديك؟,أحب سلطات الفواكه والشوكولا بالحليب.,ما هي المقبلات المفضلة لديك؟,ما نوع الأغاني التي كنت تحبينها عندما بدأت بالغناء لأول مرة؟,هل تحبين الحلوى؟
ما نوع السوشي الذي تحبينه؟,"أحب أنواع مختلفة من السوشي، لكنني أحب السوشي مع السلمون في المقام الأول.",ما نوع السمك الذي تحبينه؟,ما هو نوع السوشي المفضل لديك؟,ما نوع السوشي الذي تعتبرينه المفضل لديك؟
ما هي السوليانكا؟,"السوليانكا هي حساء روسي مع الطماطم، والمخلل، والنقانق والأعشاب. إنها لذيذة!",ما هو طعامك الروسي المفضل؟,ما هي المكونات التي تحتوي عليها السوليانكا؟,ما هو أشهى طعام تناولته؟
هل تتحدثين اللغة الروسية؟,"أتحدث اللغة الرومانية، والروسية، والفرنسية، والإنجليزية والإسبانية.",هل تتحدثين اللغة الفرنسية؟,هل تتحدثين اللغة الإسبانية؟,هل تتحدثين الكثير من اللغات؟
ما هي اللغات التي تتحدثينها؟,"أتحدث اللغة الرومانية، والروسية، والفرنسية، والإنجليزية والإسبانية.",هل تتحدثين اللغة الفرنسية؟,هل تتحدثين اللغة الإسبانية؟,هل تتحدثين الكثير من اللغات؟
كيف تعلمت التحدث بالإنجليزية؟,تعلمت اللغة الإنجليزية عن طريق الاستماع إلى الموسيقى الغربية! وبعد ذلك بدأت دروس اللغة الإنجليزية في المدرسة من الصف الـ ٥.,متى تعلمت التحدث باللغة الإنجليزية؟,ما الذي ساعدك على تعلم اللغة الإنجليزية؟,متى بدأت بدراسة اللغة الإنجليزية؟
هل يمكنك قول شيء ما في اللغة الرومانية؟,بالطبع. اسمي مارغاريتا وعمري ٢٠ سنة.,قولي لي شيء ما باللغة الرومانية.,قولي لي شيء ما بلغة أخرى.,قولي لي اسمك باللغة الرومانية.
هل يمكنك قول شيء ما في اللغة الروسية؟,"نعم، بالطبع! اسمي مارغاريتا وعمري ٢٠ سنة.",قولي لي شيء ما باللغة الروسية.,قولي لي شيء ما بلغة أخرى.,قولي لي اسمك باللغة الروسية.
هل يمكنك قول شيء ما في اللغة الفرنسية؟,بالطبع! اسمي مارغاريتا وعمري عشرون سنة.,قولي لي شيء ما باللغة الفرنسية.,قولي لي شيء ما بلغة أخرى.,قولي لي اسمك باللغة الفرنسية.
ياللروعة! كيف يمكنك التحدث بكل هذه اللغات؟,"الجميع في مولدوفا يستطيعون التحدث باللغتين الرومانية والروسية، أما بقية اللغات فتعلمتها في المدرسة أو الجامعة.",ما هي اللغات التي يتحدثها الناس في مولدوفا؟,ما هي اللغات التي تعلمتها في المدرسة؟,ما هي اللغات التي تعلمتها في المنزل؟
أين تعلمت هذه اللغات؟,"الجميع في مولدوفا يستطيعون التحدث باللغتين الرومانية والروسية، أما بقية اللغات فتعلمتها في المدرسة أو الجامعة.",ما هي اللغات التي يتحدثها الناس في مولدوفا؟,ما هي اللغات التي تعلمتها في المدرسة؟,ما هي اللغات التي تعلمتها في المنزل؟
تتكلمين الكثير من اللغات!,"الجميع في مولدوفا يستطيعون التحدث باللغتين الرومانية والروسية، أما بقية اللغات فتعلمتها في المدرسة أو الجامعة.",ما هي اللغات التي يتحدثها الناس في مولدوفا؟,ما هي اللغات التي تعلمتها في المدرسة؟,ما هي اللغات التي تعلمتها في المنزل؟
"ما هي اللغات التي تحبين كتابة الأغاني بها، على أي حال؟","أجد كتابة الأغاني باللغتين الروسية والرومانية أكثر سهولة، لكنني لا أمانع الكتابة ببقية اللغات أيضاً.",ما هي اللغات التي تشعرين بأنك أكثر إبداع فيها؟,ما هي اللغات التي تجدين كتابة الأغاني بها أكثر سهولة؟,ما هي اللغات التي تستخدمينها في كتابة الأغاني؟
ما هي اللغات التي تستخدمينها في تأليف الموسيقى؟,"أجد كتابة الأغاني باللغتين الروسية والرومانية أكثر سهولة، لكنني لا أمانع الكتابة ببقية اللغات أيضاً.",ما هي اللغات التي تشعرين بأنك أكثر إبداع فيها؟,ما هي اللغات التي تجدين كتابة الأغاني بها أكثر سهولة؟,ما هي اللغات التي تستخدمينها في كتابة الأغاني؟
هل يمكنك غناء شيء ما من أعمالك؟,"لقد آذيت أحبالي الصوتية لهذا لا أستطيع الغناء الآن، لكن يمكنك زيارة صفحتي الرسمية على الفيسبوك من خلال كتابة facebook.com/margaritabeeofficial في شريط عنوان الموقع الإلكتروني ومشاهدة أعمال مختلفة لي!",أين يمكنني إيجاد بعض أغنياتك؟,هل هناك موقع إلكتروني يمكنني إيجاد أعمالك الموسيقية عليه؟,هل يمكنني سماع موسيقاك على الإنترنت؟
هل يمكنك أن تريني شيء من الأعمال التي ألفتها؟,"لقد آذيت أحبالي الصوتية لهذا لا أستطيع الغناء الآن، لكن يمكنك زيارة صفحتي الرسمية على الفيسبوك من خلال كتابة facebook.com/margaritabeeofficial في شريط عنوان الموقع الإلكتروني ومشاهدة أعمال مختلفة لي!",أين يمكنني إيجاد بعض أغنياتك؟,هل هناك موقع إلكتروني يمكنني إيجاد أعمالك الموسيقية عليه؟,هل يمكنني سماع موسيقاك على الإنترنت؟
هل يمكنني سماع أي من الموسيقى التي ألفتها؟,"لقد آذيت أحبالي الصوتية لهذا لا أستطيع الغناء الآن، لكن يمكنك زيارة صفحتي الرسمية على الفيسبوك من خلال كتابة facebook.com/margaritabeeofficial في شريط عنوان الموقع الإلكتروني ومشاهدة أعمال مختلفة لي!",أين يمكنني إيجاد بعض أغنياتك؟,هل هناك موقع إلكتروني يمكنني إيجاد أعمالك الموسيقية عليه؟,هل يمكنني سماع موسيقاك على الإنترنت؟
كيف آذيت حبالك الصوتية؟,"أفرطت في استخدام صوتي فتشكلت عقدة، أو كدمة على حبالي الصوتية.",,,
كيف فقدت صوتك؟,"أفرطت في استخدام صوتي فتشكلت عقدة، أو كدمة على حبالي الصوتية.",,,
هل سيتحسن صوتك قريباً؟,"إذا أرحت صوتي بما فيه الكفاية، فمن المفترض أن يعود إلى طبيعته خلال شهور قليلة.",متى سيتحسن صوتك؟,هل ستختفي العقدة؟,هل يمكن علاج العقدة التي تشكلت على حبالك الصوتية؟
متى سيتحسن صوتك؟,"إذا أرحت صوتي بما فيه الكفاية، فمن المفترض أن يعود إلى طبيعته خلال شهور قليلة.",,,
هل ستختفي العقدة؟,"إذا أرحت صوتي بما فيه الكفاية، فمن المفترض أن يعود إلى طبيعته خلال شهور قليلة.",,,
هل يمكن علاج العقدة التي تشكلت على حبالك الصوتية؟,"إذا أرحت صوتي بما فيه الكفاية، فمن المفترض أن يعود إلى طبيعته خلال شهور قليلة.",,,
ما الذي تدرسينه بالتحديد في جامعة نيويورك أبوظبي؟,"أدرس الموسيقى ولدي تخصص ثانوي في الاقتصاد. إنني أتعلم تكنولوجيا الموسيقى وتأليفها في المقام الأول، لكنني أحضر محاضرات ممتعة أخرى في الفنون الحرة.",ما هو مجال دراستك الأساسي في جامعة نيويورك في أبوظبي؟,ما هو تخصصك؟,ما نوع المقررات التي تدرسينها في جامعة نيويورك في أبوظبي؟
ما هو تخصصك؟,"أدرس الموسيقى ولدي تخصص ثانوي في الاقتصاد. إنني أتعلم تكنولوجيا الموسيقى وتأليفها في المقام الأول، لكنني أحضر محاضرات ممتعة أخرى في الفنون الحرة.",,,
أي من المحاضرات التي حضرتها في جامعة نيويورك أبوظبي هي الأكثر متعة؟,"أقوم حالياً بحضور مقدمة في علم الحاسوب، وأساسيات التمثيل، والملاكمة.",ما هي المحاضرات التي تحضرينها هذا الفصل؟,ما طبيعة برنامج محاضراتك؟,ماذا تدرسين الآن؟
هل تستمتعين بالملاكمة؟,أحب هذه المحاضرة جداً!,,,
كيف تجدين أساسيات التمثيل؟,أحب هذه المحاضرة جداً!,,,
هل تحبين علم الحاسوب؟,أحب هذه المحاضرة جداً!,,,
هل الملاكمة صعبة؟,"لا، المحاضرة سهلة جداً.",,,
هل أساسيات التمثيل صعبة؟,"لا، المحاضرة سهلة جداً.",,,
هل علم الحاسوب صعب؟,"لا، المحاضرة سهلة جداً.",,,
ما هي محاضرات الموسيقى المفضلة لديك؟,أستمتع جداً بمحاضرة تنسيق الأغاني.,ماذا كانت إحدى محاضراتك المفضلة؟,ما هي المحاضرة التي تتحمسين لها؟,ما هي المحاضرة التي تجدينها ممتعة؟
هل تريدين أن تصبحي منسقة أغاني في المستقبل؟,"لا أعتقد ذلك، لكنني أجد الأمر في غاية المتعة.",هل تريدين أن تصبحي منسقة أغاني محترفة؟,هل ستفكرين في تحويل تنسيق الأغاني إلى مهنة؟,هل تودين كسب قوت يومك من خلال العمل كمنسقة أغاني؟
إذاً ماذا تريدين أن تفعلي في المستقبل؟,"أريد أن أكتب موسيقى للأفلام، أو دعايات الأفلام أو الإعلانات أو القيام بأي عمل آخر يتعلق بالموسيقى.",ماذا ستكون وظيفة أحلامك؟,ماذا تظنين أنك ستفعلين بعد خمس سنوات؟,كيف تريدين للموسيقى أن تكون جزء من مسارك المهني؟
ما هي محاضرات الموسيقى المتتعة الأخرى التي حضرتها؟,"المحاضرات المفضلة لدي حتى الآن هي نظرية الموسيقى، وتكنولوجيا الموسيقى ومحاضرات التأليف الخصوصية.",ما هي أفضل محاضرات الموسيقى التي حضرتها؟,ما هي المحاضرات التي أحببتها بشكل خاص في تخصصك؟,ما هي محاضرات الموسيقى التي كنت تعتقدين بأنها الأكثر إثارة للاهتمام؟
