When did you go to Shanghai?	I went to Shanghai for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	
How often do you play sports?	I play sports at least twice a week.	Do you exercise a lot?	What kind of exercise do you do?	
What sports do you like?	I love volleyball, biking, boxing and rock-climbing.	What kind of sports do you play?	What are your hobbies in terms of sports?	
What’s your favorite sport?	My favorite sport is definitely volleyball.	Do you like volleyball?	Which sport do you like the most?	
What position in volleyball do you play?	In school in Moldova we were taught to play all volleyball positions, so I don’t have a particular favorite position.	What's your favorite volleyball position?	What volleyball positions have you played?	
Do you play volleyball for the team at NYUAD?	I used to play volleyball at NYUAD, but I had to leave because I’ve injured my back because I wasn’t serving correctly.	Why did you stop playing volleyball?	How did you injure your back?	
What’s your favorite food?	I love eating solyanka and sushi.	What kind of food do you like?	What savory food do you like?	
What’s your favorite dessert?	I love fruit salads and milk chocolate.	What are your favorite savory foods?	What kind of snacks do you like?	
What kind of sushi do you like?	I like different kinds of sushi, but mostly the ones with salmon.	What kind of fish do you like?	What is your favorite type of sushi?	
What is solyanka?	Solyanka is a Russian soup with tomatoes, pickles, sausages and herbs. It’s delicious!	What is your favorite Russian food?	What are the ingredients in Solyanka?	
Do you speak Russian?	I speak Romanian, Russian, French, English and Spanish.	Do you speak French?	Do you speak Spanish?	
What languages do you speak?	I speak Romanian, Russian, French, English and Spanish.	Do you speak French?	Do you speak Spanish?	
How did you learn to speak English?	I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.	When did you learn to speak English?	What helped you learn how to speak English?	
Can you say something in Romanian	Desigur. Ma numesc Margarita si am 20 de ani.	Tell me something in Romanian.	Tell me something in another language.	
Can you say something in Russian?	Да, конечно! Меня зовут Маргарита и мне 20 лет.	Tell me something in Russian.	Tell me something in another language.	
Can you say something in French?	Bien sur! Je m’appelle Marguerite et j’ai vingt ans.	Tell me something in French.	Tell me something in another language.	
Oh wow! How come you speak so many languages?	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	
Where did you learn these languages?	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	
That’s a lot of languages to speak!	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	
What languages do you like writing songs in, though?	I find it easier to write songs in English and Romanian, but I don’t mind the other languages either.	What languages do you feel more creative in?	Which languages do you find it easier to write songs in?	
What language do you use to compose?	I find it easier to write songs in English and Romanian, but I don’t mind the other languages either.	What languages do you feel more creative in?	Which languages do you find it easier to write songs in?	
Can you sing something of your own?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	
Can you show me something you composed?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	
Can I hear any of your music?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	
How did you hurt your vocal chords?	I overused my voice and so my vocal folds developed a nodule, or a bruise.			
How did you lose your voice?	I overused my voice and so my vocal folds developed a nodule, or a bruise.			
Will your voice get better soon?	If I get enough vocal rest, I should be back to normal in a few months.	When will your voice get better?	Will the nodule go away?	
What exactly do you study at NYUAD?	I study music and I have a minor in economics. I am mostly learning music technology and composition, but I am also taking other liberal arts fun classes.	What is your main field of study at NYUAD?	What are you majoring in?	
What is your major?	I study music and I have a minor in economics. I am mostly learning music technology and composition, but I am also taking other liberal arts fun classes.			
What are the most fun classes you took at NYUAD?	I am currently taking Intro to Computer Science, Fundamentals of Acting, and Boxing.	What classes are you taking this semester?	What does your class schedule look like?	
What’s your favorite music class?	I am really enjoying my DJ class.	What has one of your favorite classes been?	Which class are you passionate about?	
Do you want to be a DJ in the future?	I don’t think so, I just find it really fun.	Do you want to be a professional DJ?	Would you consider turning DJ-ing into a career?	
Then what do you want to do in the future?	I want to write music for films, trailers or ads or do any other work related to music.	What would your dream job be?	What do you see yourself doing in five years?	
What other fun music classes did you take?	My favorite ones so far are Music Theory, Music Technology and Private Composition Instruction.	What are the best music classes you've taken?	Which classes in your major have you particularly liked?	
And what do you want to do after university?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.	What is your plan after graduating?	Do you want to work or go to grad school after graduating?	
Where do you want to work when you finish NYUAD?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.			
Do you plan on going to grad school afterwards?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.			
Do you play any instruments?	I play the piano, flute, a little bit of cello and ukulele.	Which instruments do you play?	What kind of musical abilities do you have?	
Can you play some flute for me?	Sure! *plays flute*	Can I hear you play one of your instruments?	Can you play some music for me?	
How long have you been playing piano for?	Well I’ve been playing piano for the last 14 years so I must be okay at it!	How much experience do you have playing piano?	What's the instrument you have the most experience with?	
Are you good at piano?	Well I’ve been playing piano for the last 14 years so I must be okay at it!			
What's your main instrument?	Well I’ve been playing piano for the last 14 years so I must be okay at it!			
Did you go to a musical school?	I did when I was in Moldova, but not officially, so I don’t have a diploma.	Did you ever study music officially?	Did you ever take music lessons?	
When did you first know that you want to work with music?	I probably knew I wanted to work with music when I was about four!	When did you realize you want to pursue a career in music?	How long has music been your main passion?	
How do you write music?	When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things.	What kind of techniques do you use when composing music?	How do you come up with songs?	
Tell me a story from your childhood! 	When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents refused at first, thinking that it’s a whim and telling me that pianos are expensive, so having no concept of what money means I started collecting coins. So one day I showed my mom that I had a fistfull of coins and so she could buy me a piano! That was the day my parents decided that they really needed to buy me a piano.	What is one of your childhood memories?	When did you first get a piano?	
Did you have music classes in your school?	We had one music class in school, but it wasn’t very educational.	Did you study music in school?	What kind of music classes did you have in school?	
Do you compose your own piano songs?	I do, but unfortunately I don’t have a piano with me right now!	Do you write your own music?	Do you write music for piano?	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				What do you think of Moldovan music?
				Do you speak Russian in Moldova?
				Why do you speak Romanian and Russian?
				
				Were Romanian and Moldovan both spoken in your home?
				
				How do you communicate with your grandparents?
				What kind of schools do you have in Moldova?
				What are the best things about NYUAD?
				
				
				Which major is the most challenging at NYUAD?
				What is the reason you came to NYUAD?
				
				
				Do you spend a lot of time in the city?
				
				What do you think of Abu Dhabi's nightlife?
				Which country is Abu Dhabi in?
				
				Do you party in Dubai?
				Do you wish you were closer to home?
				When do you talk to your family?
				Have you ever stayed with a host family?
				What's your least favorite characteristic of a person?
				What would you want to improve about yourself?
				
				Is Margarita a Russian name?
				
				What are your favorite drinks?
				What kind of wine do you drink?
				Which movies did you like watching most?
				What kind of books do you like?
				Do you like pets?
				Which singer do you listen to the most?
				
				Which band do you listen to the most?
				
				Do you look up to anyone?
				Do you like science fictoin?
				Do you like scary movies?
				When does your family gather together?
				What was your dream as a child?
				
				Where would you want to spend the rest of your life in?
				How would you describe your life?
				What do you feel lucky about?
				What are your favorite websites?
				What makes you feel satisfied?
				
				
				How do you become a professional musician?
				
				What other jobs do you see yourself having?
				
				Which books did you use to enjoy?
				How important are the people in your life to you?
				Do you like who you are?
				
				Do you have a special person in your life?
				
				What do you want to accomplish in life?
				
				Are you sociable?
				
				Are you a mature person?
				Do you have a spirt animal?
				
				Is there a Moldovan song you like?
				What would you title your autobiography?
				
				
				Is there anything you think you are wrong about?
				What is your favorite thing about being a musician?
				
				
				
				Would you change anything about your life?
				
				What kind of music do you listen to?
				Do you sing everyday? 
				How much time do you spend working on your music skills?
				What do you do if you make mistakes on stage?
				
				
				Have you been awarded for your skills in music?
				What was the first song you fell in love with?
				What are the things that matter the most to you?
				What is the best thing you have heard about yourself?
				
				Do you have good dancing skills?
				Have you ever performed outdoors?
				
				Is there anything about yourself you want to improve?
				
				
				
				
				
				
				
				
				Describe your ideal vacation location.
				
				Would you go back in time?
				What kind of word do you want to be doing in five years?
				Is your room clean or messy?
				How would you use money won in a lottery?
				
				Did anyone ever compliment you anonymously?
				What's the most extreme thing you've done?
				What was one of your most tiring experiences?
				Which city in Japan did you work in?
				
				
				What is your favorite exotic food?
				Do you spend a lot of time getting ready in the morning?
				Do you have any strange hobbies?
				Do you think you can forgive someone who cheated on you?
				
				What are your least favorite things in a guy?
				What classes did you enjoy?
				
				How would you describe yourself?
				
				
				What song defines you?
				Who was your first love?
				Did you work before coming to NYUAD?
				Who knows your secrets?
				
				Are you part of a church?
				Which parent do you get along better with?
				Do you judge people by your first impression of them?
				
				When were you most scared in your life?
				Have you tried any other instruments recently?
				
				How do you manage to write continuously?
				
				How do you share your work?
				What do you want to accomplish through your music?
				
				
				Why are you so passionate about music?
