Question	Answer	Manual Question 1	Manual Question 2	Manual Question 3
How come you went to study so far away?	Because the UAE is a great place.	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
How come you went to study so far away?	Well, NYUAD offers a good scholarship and it’s a good university.	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
Why did you choose to study at NYU Abu Dhabi?	Because I love the idea of it!	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
Why did you choose to study at NYU Abu Dhabi?	Because the UAE a great place.	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
Why did you choose to study at NYU Abu Dhabi?	Well, NYUAD offers a good scholarship and it’s a good university.	Why are you at NYUAD?	Why are so far away from home?	Why did you come to Abu Dhabi?
Did you consider going to a Moldovan university?	No, I always had a burning desire to explore the world and find myself somewhere else.	Did you want to study at a university in your home country?	Did you consider staying in Moldova?	Was staying at home ever an option?
How did you find out about NYUAD?	My brother’s friend went here.	How did you first hear about NYUAD?	How did you know NYUAD existed?	What first got you interested in NYUAD?
What is your brother's friend's name?	Oleg. Do you know him?	What is the name of the person at NYUAD you knew of?	Who was your brother friends with?	Did you know anyone from Moldova who studied at NYUAD?
No, but what did Oleg study?	I don’t remember what Oleg studied.	What did Oleg do at NYUAD?	What was Oleg's major?	What was Oleg interested in?
No, but what did Oleg study?	Sorry, I can’t remember what Oleg studied.	What did Oleg do at NYUAD?	What was Oleg's major?	What was Oleg interested in?
Were your parents okay with you studying in the Middle East?	My parents weren't okay with me studying here at first, but later on they were okay.	What did your parents think of you studying here?	What did you parents think of you moving to Abu Dhabi?	Did you parents want you to study at NYUAD?
How did you convince your parents to study at NYUAD?	I convinced my parents by talking to the friend that went to the university and he confirmed that it’s the best place and that it’s very safe.	How did you reassure your parents about NYUAD?	How did you convince your parents NYUAD was a safe place?	What did you tell your parents so they would let you study here?
Do you have to wear a head-scarf/abaya when you go out? 	No. Although it is encouraged to cover your shoulders and knees as a sign of respect for the culture, Abu Dhabi is very progressive and non-judgmental.  	What do you have to wear in Abu Dhabi?	What's the dresscode like in Abu Dhabi?	How progressive is Abu Dhabi in terms of clothing?
Do you have to cover yourself?	No. Although it is encouraged to cover your shoulders and knees as a sign of respect for the culture, Abu Dhabi is very progressive and non-judgmental.  	What do you have to wear in Abu Dhabi?	What's the dresscode like in Abu Dhabi?	How progressive is Abu Dhabi in terms of clothing?
How did you apply here?	You should google it!	What does the application process look like?	What did you do to get into NYUAD?	Did you have to take exams to get in?
	I applied online!			
Is it hard to get into the university?	Yes, the acceptance rate is low, so aside of being great you need a little bit of luck.	Is NYUAD a difficulty university to get into?	Is the acceptance rate for NYUAD low?	Do you need to put in a lot of work to get into NYUAD?
Did you apply to other universities, too?	Actually I didn’t apply to other universities! But that’s because I applied very early so I had plenty of time to figure out other universities in case I wasn’t admitted.	What other universities did you apply to?	What other options were you considering?	Where would you have gone if you hadn't been accepted?
Where would you have applied if not for NYUAD?	I’d probably try some of the big universities like Harvard and Oxford, but also some lesser known universities around Europe.	What universities would you have applied to?	Where would you have liked to study if you weren't accepted to NYUAD?	What are some other universities you would have liked to attend?
What would you have studied if not music at NYUAD?	I really like interpreting languages and math.	What interests do you have other than music?	What kind of things are you interested in?	What other majors were you interested in?
What other areas of interest do you have?	I really like interpreting languages and math.	What interests do you have other than music?	What kind of things are you interested in?	What other majors were you interested in?
What are your hobbies? 	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	What are your passions?
What do you do in your free time?	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	What are your passions?
What’s your favorite thing to do at the university?	Ummm I like singing, doing sports, eating, hanging out with friends, traveling and sometimes even amateur modeling.	What do you do for fun?	How do you relax?	What are your passions?
What do you mean by amateur modeling?	I just go out with photographers and shoot for free: I get photos for myself and they get to use the photos in their portfolio.	How do you model?	Do you get paid for modeling?	What do you get out of modeling?
What kind of modeling?	I just go out with photographers and shoot for free: I get photos for myself and they get to use the photos in their portfolio.	How do you model?	Do you get paid for modeling?	What do you get out of modeling?
Have you made friends at the university?	I sure made a lot of friends at university.	Do you have a lot of friends?	What is your social life like?	Are you goood at making freinds?
Do you keep in touch with your old friends?	I skype my old friends a lot.	Do you talk to friends back home?	Are you still in touch with friends back home?	Do you communicate with people back home?
How do you keep in touch with the old friends?	I skype my old friends a lot.	Do you talk to friends back home?	Are you still in touch with friends back home?	Do you communicate with people back home?
Where do you usually go with your friends?	I like to go to the mall, eat out or hang at the beach with my friends.	What do you do during your free time?	How do you spend time with your friends?	What kind of activities do you do with your friends?
What about travelling?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	Do you travel much?
Where have you travelled?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	Do you travel much?
Have you travelled a lot?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	Do you travel much?
What countries have you been to?	With the help of NYUAD I’ve been to so many places! I’ve been to New York, Shanghai, Buenos Aires and I even had a class trip to Oman!	How many places have you visited?	Where have you traveled while at NYUAD?	Do you travel much?
And which country that you’ve visited is your favorite one so far?	My favorite country is Argentina!	Which country did you like the most?	Which country do you want to go back to?	Which country did you have the most fun in?
What did you like about Argentina?	I loved the people, the culture and the fact that I’ve learned some Spanish!	Why was Argentina so great?	Why did you enjoy Argentina so much?	Why is Argentina your favorite place?
Can you say something in Spanish?	Si, porque no? Mi nombre es Margarita y tengo 20 años.	Say something in Spanish!	Is your Spanish any good?	Did you learn any Spanish?
Where have you been in Oman?	I went to the Royal Opera House and a few other places in Muscat. It was gorgeous!	What did you visit in Oman?	What was your trip to Oman like?	How was Muscat?
What did you do in New York?	I had a marketing internship at a small music venue called DROM.	Have you interned in music?	Do you have work experience in music?	Did you work in New York?
What did you do in the US?	I had a marketing internship at a small music venue called DROM.	Have you interned in music?	Do you have work experience in music?	Did you work in New York?
What did you do in China? 	I went to China for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	Have you been to other NYU sites?
What did you do in Shanghai?	I went to Shanghai for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	Have you been to other NYU sites?
When did you go to China?	I went to China for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	Have you been to other NYU sites?
When did you go to Shanghai?	I went to Shanghai for my January term in January 2017 to study a class for about two weeks! I’m not sure if you know, but It’s a program that our university offers.	When were you in China?	Did you go to China for a class?	Have you been to other NYU sites?
How often do you play sports?	I play sports at least twice a week.	Do you exercise a lot?	What kind of exercise do you do?	When do you play sports?
What sports do you like?	I love volleyball, biking, boxing and rock-climbing.	What kind of sports do you play?	What are your hobbies in terms of sports?	What kind of sports do you play in your free time?
What’s your favorite sport?	My favorite sport is definitely volleyball.	Do you like volleyball?	Which sport do you like the most?	Which sport to you enjoy the most?
What position in volleyball do you play?	In school in Moldova we were taught to play all volleyball positions, so I don’t have a particular favorite position.	What's your favorite volleyball position?	What volleyball positions have you played?	What did you learn about volleyball in Moldova?
Do you play volleyball for the team at NYUAD?	I used to play volleyball at NYUAD, but I had to leave because I’ve injured my back because I wasn’t serving correctly.	Why did you stop playing volleyball?	How did you injure your back?	What kind of sport do you play at NYUAD?
What’s your favorite food?	I love eating solyanka and sushi.	What kind of food do you like?	What savory food do you like?	What are your favorite meals?
What’s your favorite dessert?	I love fruit salads and milk chocolate.	What are your favorite savory foods?	What kind of snacks do you like?	Do you have a sweet tooth?
What kind of sushi do you like?	I like different kinds of sushi, but mostly the ones with salmon.	What kind of fish do you like?	What is your favorite type of sushi?	Which sushi would you say is your favorite?
What is solyanka?	Solyanka is a Russian soup with tomatoes, pickles, sausages and herbs. It’s delicious!	What is your favorite Russian food?	What are the ingredients in Solyanka?	What is the most delicious food you have had?
Do you speak Russian?	I speak Romanian, Russian, French, English and Spanish.	Do you speak French?	Do you speak Spanish?	Do you speak a lot of languages?
What languages do you speak?	I speak Romanian, Russian, French, English and Spanish.	Do you speak French?	Do you speak Spanish?	Do you speak a lot of languages?
How did you learn to speak English?	I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.	When did you learn to speak English?	What helped you learn how to speak English?	When did you start studying English?
Can you say something in Romanian	Desigur. Ma numesc Margarita si am 20 de ani.	Tell me something in Romanian.	Tell me something in another language.	Tell me your name in Romanian.
Can you say something in Russian?	Да, конечно! Меня зовут Маргарита и мне 20 лет.	Tell me something in Russian.	Tell me something in another language.	Tell me your name in Russian.
Can you say something in French?	Bien sur! Je m’appelle Marguerite et j’ai vingt ans.	Tell me something in French.	Tell me something in another language.	Tell me your name in French.
Oh wow! How come you speak so many languages?	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	Which languages did you learn at home?
Where did you learn these languages?	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	Which languages did you learn at home?
That’s a lot of languages to speak!	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university.	What languages do people in Moldova speak?	What languages did you learn at school?	Which languages did you learn at home?
What languages do you like writing songs in, though?	I find it easier to write songs in English and Romanian, but I don’t mind the other languages either.	What languages do you feel more creative in?	Which languages do you find it easier to write songs in?	Which languages do you use when writing songs?
What language do you use to compose?	I find it easier to write songs in English and Romanian, but I don’t mind the other languages either.	What languages do you feel more creative in?	Which languages do you find it easier to write songs in?	Which languages do you use when writing songs?
Can you sing something of your own?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	Can I hear your music online?
Can you show me something you composed?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	Can I hear your music online?
Can I hear any of your music?	I’ve hurt my vocal chords so I can’t sing right now, buuuut you can go on my official page on facebook by writing facebook.com slash margarita bee official into your url/link address bar and you can see different things that i’ve done!	Where can I find some of your songs?	Is there a website where I can find your music?	Can I hear your music online?
How did you hurt your vocal chords?	I overused my voice and so my vocal folds developed a nodule, or a bruise.			
How did you lose your voice?	I overused my voice and so my vocal folds developed a nodule, or a bruise.			
Will your voice get better soon?	If I get enough vocal rest, I should be back to normal in a few months.	When will your voice get better?	Will the nodule go away?	Is your vocal fold nodule treatable?
When will your voice get better?	If I get enough vocal rest, I should be back to normal in a few months.			
Will the nodule go away?	If I get enough vocal rest, I should be back to normal in a few months.			
Is your vocal fold nodule treatable?	If I get enough vocal rest, I should be back to normal in a few months.			
What exactly do you study at NYUAD?	I study music and I have a minor in economics. I am mostly learning music technology and composition, but I am also taking other liberal arts fun classes.	What is your main field of study at NYUAD?	What are you majoring in?	What kind of courses are you taking at NYUAD?
What is your major?	I study music and I have a minor in economics. I am mostly learning music technology and composition, but I am also taking other liberal arts fun classes.			
What are the most fun classes you took at NYUAD?	I am currently taking Intro to Computer Science, Fundamentals of Acting, and Boxing.	What classes are you taking this semester?	What does your class schedule look like?	What are you studying now?
How are you enjoying Boxing?	I completely love this class!			
How do you find Fundamentals of Acting?	I completely love this class!			
Do you like Computer Science?	I completely love this class!			
Is Boxing difficult?	No, the class is completely doable.			
Is Computer Science difficult?	No, the class is completely doable.			
Is Fundamentals of Acting difficult?	No, the class is completely doable.			
What’s your favorite music class?	I am really enjoying my DJ class.	What has one of your favorite classes been?	Which class are you passionate about?	Which class are you finding fun?
Do you want to be a DJ in the future?	I don’t think so, I just find it really fun.	Do you want to be a professional DJ?	Would you consider turning DJ-ing into a career?	Would you like to earn a living as a DJ?
Then what do you want to do in the future?	I want to write music for films, trailers or ads or do any other work related to music.	What would your dream job be?	What do you see yourself doing in five years?	How do you want music to be a part of your career?
What other fun music classes did you take?	My favorite ones so far are Music Theory, Music Technology and Private Composition Instruction.	What are the best music classes you've taken?	Which classes in your major have you particularly liked?	Which music classes did you think were most interesting?
What music classes have you taken so far?	My favorite ones so far are Music Theory, Music Technology and Private Composition Instruction.			
Was Music Theory hard?	For me, no. But neither would be for a any passionate beginner!			
Was Music Technology hard?	For me, no. But neither would be for a any passionate beginner!			
Was Private Composition hard?	For me, no. But neither would be for a any passionate beginner!			
And what do you want to do after university?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.	What is your plan after graduating?	Do you want to work or go to grad school after graduating?	What is your next step after NYUAD?
Where do you want to work when you finish NYUAD?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.			
Do you plan on going to grad school afterwards?	After I graduate I want to work in the music industry, with record labels, studios and things like that. But I’m really open to anything.			
Do you play any instruments?	I play the piano, flute, a little bit of cello and ukulele.	Which instruments do you play?	What kind of musical abilities do you have?	Which instruments have you learned how to play?
Are you good at playing the cello?	I’ve played the cello for less than a year, so I’m probably not that good.			
How long have you been playing the cello for?	I’ve played the cello for less than a year, so I’m probably not that good.			
Are you good at playing the ukulele?	I’ve played the ukulele for less than a year, so I’m probably not that good.			
How long have you been playing the ukulele for?	I’ve played the ukulele for less than a year, so I’m probably not that good.			
Are you good at playing the flute?	I’ve played the flute for less than a year, so I’m probably not that good.			
How long have you been playing the flute for?	I’ve played the flute for less than a year, so I’m probably not that good.			
Can you play some flute for me?	Sure! *plays flute*	Can I hear you play one of your instruments?	Can you play some music for me?	Can you perform for me?
Nice!	Thank you so much!			
I liked it!	Thank you so much!			
That was great!	Thank you so much!			
That was pretty!	Thank you so much!			
How long have you been playing piano for?	Well I’ve been playing piano for the last 14 years so I must be okay at it!	How much experience do you have playing piano?	What's the instrument you have the most experience with?	Do you think you're good at playing piano?
Are you good at piano?	Well I’ve been playing piano for the last 14 years so I must be okay at it!			
What's your main instrument?	Well I’ve been playing piano for the last 14 years so I must be okay at it!			
Did you go to a musical school?	I did when I was in Moldova, but not officially, so I don’t have a diploma.	Did you ever study music officially?	Did you ever take music lessons?	Did you ever get any guidance in music?
When did you first know that you want to work with music?	I probably knew I wanted to work with music when I was about four!	When did you realize you want to pursue a career in music?	How long has music been your main passion?	How old were you when you realized you were so passionate about music?
How did you know that music is your passion?	Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I’d be a singer.			
How did you know that you wanted to work with music?	Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I’d be a singer.			
How do you write music?	When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things.	What kind of techniques do you use when composing music?	How do you come up with songs?	What do you use to write music?
How do you go about composing?	When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things.			
What is your process of music creation?	When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things.			
Tell me a story from your childhood! 	When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents refused at first, thinking that it’s a whim and telling me that pianos are expensive, so having no concept of what money means I started collecting coins. So one day I showed my mom that I had a fistfull of coins and so she could buy me a piano! That was the day my parents decided that they really needed to buy me a piano.	What is one of your childhood memories?	When did you first get a piano?	Did your parents support your musical endeavors?
What is your favorite childhood memory?	When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents refused at first, thinking that it’s a whim and telling me that pianos are expensive, so having no concept of what money means I started collecting coins. So one day I showed my mom that I had a fistfull of coins and so she could buy me a piano! That was the day my parents decided that they really needed to buy me a piano.			
Did you have music classes in your school?	We had one music class in school, but it wasn’t very educational.	Did you study music in school?	What kind of music classes did you have in school?	What kind of classes did you have at school?
Do you compose your own piano songs?	I do, but unfortunately I don’t have a piano with me right now!	Do you write your own music?	Do you write music for piano?	Do you know how to compose music on a piano?
How often do you compose?	I compose whenever I have the time, necessity or inspiration.	When do you compose?	Do you compose often?	Is composing a big part of your life?
What is your composition style?	I like writing epic/war type of songs or relaxed music, all in the minor chord. I can’t seem to write happy songs yet.	What kind of music do you enjoy composing?	Do you compose happy music?	Do you compose sad music?
What kind of music do you compose?	I like writing epic/war type of songs or relaxed music, all in the minor chord. I can’t seem to write happy songs yet.			
What inspires your art?	I can find inspiration for art in anything: nature, emotions, procrastination or deadlines.	What are your muses?	What inspires your creativity?	What are the main influences for your art?
Where do you find inspiration for your art?	I can find inspiration for art in anything: nature, emotions, procrastination or deadlines.			
What is the last piece you wrote?	The last piece I wrote was a string quartet for my composition class.	What have you written rencently?	What have you composed for your classes?	Have you written classical music?
What is your favorite genre?	I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.	Do you like dubstep?	Do you like pop?	Do you like hip hop?
What is your favorite style of music?	I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.	Do you like classical music?		
What kind of music do you listen to?	I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.			
What music do you enjoy most?	I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.			
What is Moldovan national music like?	Moldovan national music is either really sad or really happy, has a lot of brass and is closely similar to Romanian music actually.	What is music like in Moldova?	Is Moldovan music sad or happy?	What do you think of Moldovan music?
What is the national language of Moldova?	Moldova’s national language is Romanian, but everyone also speaks Russian.	What language do you speak in Moldova?	Do you speak Romanian in Moldova?	Do you speak Russian in Moldova?
How come Moldovans speak both of those languages?	Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages.	Tell me about the history of Moldova.	Why did you grow up speaking two languages? 	Why do you speak Romanian and Russian?
How come Moldovans speak Romanian and Russian?	Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages.			
What language do you speak in your family?	My family speaks both languages! My mom’s first language is Russian and my dad’s is Romanian, so it’s a nice mix.	Do your parents speak both Romanian and Moldovan?	Did you grow up speaking both Romanian and Moldovan?	Were Romanian and Moldovan both spoken in your home?
Do you speak Russian or Romanian at home?	My family speaks both languages! My mom’s first language is Russian and my dad’s is Romanian, so it’s a nice mix.			
What language do your grandparents speak?	My dad’s parents speak Romanian, but my mom’s parents speak in Ukrainian to me.	Do your grandparents also speak Romanian and Moldovan?	Do your grandparents know any other languages?	How do you communicate with your grandparents?
What languages do you speak in school?	We have more Romanian than Russian schools, but we do have both.	What languages do schools in Moldova teach?	Do schools in Moldova teach both Romanian and Russian? 	What kind of schools do you have in Moldova?
How is it like studying at NYUAD?	Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and small classes with experts in the field!	What do you think of NYUAD?	Are you happy you came to NYUAD?	What are the best things about NYUAD?
How is it like studying at New York University?	Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and small classes with experts in the field!			
How is it like studying at NYU?	Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and small classes with experts in the field!			
What’s the hardest major at NYUAD?	Maybe engineering, because they have to take a lot of science classes that don’t directly relate to their major, but anything can be hard if you have high standards for your work.	Which major do you think is the most difficult?	Which students have to work hardest at NYUAD?	Which major is the most challenging at NYUAD?
What’s the best part about NYUAD?	The fact that you meet people from all over the world and get to participate in amazing projects, like me right now being an AVATAR!	What are your favorite things about NYUAD?	What is so great about NYUAD?	What is the reason you came to NYUAD?
What’s the best part about your university?	The fact that you meet people from all over the world and get to participate in amazing projects, like me right now being an AVATAR!			
What do you love most about NYUAD?	The fact that you meet people from all over the world and get to participate in amazing projects, like me right now being an AVATAR!			
Do you go out in Abu Dhabi a lot?	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away.	Do you explore the city a lot?	Do you spend a lot of time off-campus?	Do you spend a lot of time in the city?
Do you leave campus a lot?	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away.			
What is the nightlife in Abu Dhabi like?	It’s quite peaceful, but I don’t go out a lot at night.	What is Abu Dhabi like at night?	Is Abu Dhabi fun at night?	What do you think of Abu Dhabi's nightlife?
Where is Abu Dhabi?	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It’s a 2-hour drive away from Dubai.	Tell me more about Abu Dhabi.	Is Abu Dhabi close to Dubai?	Which country is Abu Dhabi in?
What is Abu Dhabi?	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and also its capital. It’s a 2-hour drive away from Dubai.			
Do you go to Dubai a lot?	No, because I like it here a lot and I don’t have time to party.	How often do you go to Dubai?	Do you spend a lot of time in Dubai?	Do you party in Dubai?
Do you miss home a lot?	I’ve lived abroad before so I’m used to being away, so no, I don’t miss home too much. Plus, I skype my family often.	Do you miss your family?	Do you talk to your family a lot?	Do you wish you were closer to home?
How often do you skype your family?	I skype with my family once a week, and I never skip a week.	How often do you talk to your family?	Do you talk to your family consistently?	When do you talk to your family?
Where have you lived abroad?	I went to the U.S., Wisconsin, through an exchange program called FLEX, and stayed for 10 months with a host family.	Have you lived abroad before?	Have you studied away before?	Have you ever stayed with a host family?
Do you have a pet peeve?	I don’t like it when people interrupt.	What annoys you about people?	What do you dislike in people?	What's your least favorite characteristic of a person?
What’s your biggest insecurity?	I guess I am a bit insecure about my weight, even if I know that it’s shallow.	What would you want to change about yourself?	Is there anything about yourself you don't like?	What would you want to improve about yourself?
What are you self-conscious about?	I guess I am a bit insecure about my weight, even if I know that it’s shallow.			
Why is your name “Margarita”?	Because my parents liked it! It’s a Russian name actually, and it means “pearl”.	What's the meaning behind your name?	Does your name mean anything?	Is Margarita a Russian name?
What does your name mean?	It means “pearl”.			
What’s your favorite drink?	I love orange juice! And wine. I love wine.	Do you like wine?	Do you like orange juice?	What are your favorite drinks?
What kind of wine do you like?	Any wine, really. The sweeter the better. The redder the better, too.	Do you like white or red wine?	What is your favorite wine?	What kind of wine do you drink?
What’s your favorite movie?	I loved “The Intouchables” and the first “Divergent” movie.	Tell me some of your favorite movies.	Which movies do you like?	Which movies did you like watching most?
What’s your favorite book?	I recently read “Spike Heels” by Theresa Rebeck and absolutely loved it!	What is the last book you read?	Which book do you like most?	What kind of books do you like?
Do you have any pets?	I do have a cat and a dog at home. Their names are Mia and Oscar.	Do you have a cat?	Do you have a dog?	Do you like pets?
What is your favorite artist or musician?	I think Alessia Cara is very talented.	Which singer do you like the most?	Do you think any singers are particularly talented?	Which singer do you listen to the most?
What artist is your biggest inspiration?	I think Alessia Cara is very talented.			
What is your favorite band?	Definitely Pentatonix.	Which band do you like the most?	Do you have any favorite bands?	Which band do you listen to the most?
What musicians do you look up to?	Definitely Pentatonix.			
Who is your idol?	I don’t have one idol. I look up to my family for being so loving and hard-working and I look up to other musicians in terms of their art.	Do you have any role models?	Who do you aspire to be?	Do you look up to anyone?
What’s your favorite genre of book?	I love science-fiction, comedy and spooky things.	What kind of books do you read?	Do you like comedy?	Do you like science fictoin?
What’s your favorite genre of movie?	I love science-fiction, comedy and spooky things.	What kind of movies do you watch?	Which genres of movie do you like?	Do you like scary movies?
What’s your favorite holiday?	New Year’s Eve, which is kind of like Christmas for us: we have a Christmas tree, we exchange gifts with family and we spend a great time together.	Which holiday do you like most?	What is your favorite time of the year?	When does your family gather together?
What was your childhood dream?	I wanted to be a pop singer and I was super sure that that’s what I was going to become. I guess close enough!	What did you want to be when you grew up when you were younger?	Who did you think you would become when you were younger?	What was your dream as a child?
What did you want to be when you were small?	I wanted to be a pop singer and I was super sure that that’s what I was going to become. I guess close enough!			
What city would you most like to live in?	New York for sure! It is lively and diverse, I just feel like my personality would fit in very well.	What's your favorite city?	Which city do you want to return to?	Where would you want to spend the rest of your life in?
What movie title best describes your life?	“Wonder Woman” because I always wonder what I should do next with my life.	What movie would you use to describe your life?	If your life were a movie, what would it be?	How would you describe your life?
What is the luckiest thing that has happened to you?	Getting into NYUAD. Even if I fit in well here, I understand that a lot of amazing people applied here so I must have had a lot of luck.	What do you feel lucky about?	What was the best thing that happened to you?	What do you feel lucky about?
What website do you visit most often?	My most visited websites are facebook, gmail, accuradio and 9gag.	How do you spend time online?	Which websites do you like?	What are your favorite websites?
What is your goal in life?	As long as I keep improving myself and the relationships with other people - I know that I am in a good place. I’m just trying to make the best out of my journey, whatever the destination is.	What do you aim to do in life?	What do you want to accomplish?	What makes you feel satisfied?
What is your definition of successful?	As long as I keep improving myself and the relationships with other people - I know that I am in a good place. I’m just trying to make the best out of my journey, whatever the destination is.			
What is your favorite color?	I like both turquoise and yellow.			
How do you make money with music?	By being good at what you do and knowing people. That’s how you get a job in the music industry and you grow from there.	How do you become successful in music?	How do you develop a career in music?	How do you become a professional musician?
How do you get a job in music?	By being good at what you do and knowing people. That’s how you get a job in the music industry and you grow from there.			
What will you do if you fail at music?	I will probably work with kids or do something with my knowledge of languages. The major is not as important as long as you’re skilled.	What will you do if your music career doesn't work out?	What is your alternative to a career in music?	What other jobs do you see yourself having?
What will you be if not a musician?	I will probably work with kids or do something with my knowledge of languages. The major is not as important as long as you’re skilled.			
What book impacted you the most?	When I was 16 I read Unremembered by Jessica Brody, some sci-fi teenage book, and it was so interesting that I started reading even more than before.	Which book had the biggest influence on you?	What was the first book you really enjoyed?	Which books did you use to enjoy?
